Topic,Subtopic,Subsubtopic,Learning Outcome,Code
Math,Topic Outcome,,Paste un-numbered outcome here,1.1.1.0
Math,Topic Outcome,,Paste un-numbered outcome here,1.1.1.1
Math,Graphs,,Calculate the total displacement given the position as a function of time.{84},1.2.1.0
Math,Graphs,,Determine the total distance traveled.{85},1.2.1.1
Math,Graphs,,Calculate the average velocity given the displacement and elapsed time.{86},1.2.1.2
Math,Graphs,,Calculate the average acceleration between two points in time.{97},1.2.1.3
Math,Graphs,,Find instantaneous acceleration at a specified time on a graph of velocity versus time.{101},1.2.1.4
Math,Graphs,,Create and interpret graphs of potential energy.{279},1.2.1.5
Math,Graphs,,Analyze elasticity and plasticity on a stress-strain diagram.{439},1.2.1.6
Math,Graphs,,Qualitatively analyze position vs time graphs,1.2.1.7
Math,Graphs,,Qualitatively analyze velocity vs time graphs,1.2.1.8
Math,Graphs,,Qualitatively analyze acceleration vs time graphs,1.2.1.9
Math,Graphs,,Qualitatively analyze position(x) vs position(y) graphs,1.2.1.10
Math,Significant Figures,,Determine the correct number of significant figures for the result of a computation.{33},1.3.1.0
Math,Order of Magnitude,,Calculate the order of magnitude of a quantity.{8},1.4.1.0
Math,Order of Magnitude,,Estimate the values of physical quantities.{29},1.4.1.1
Math,Algebra,Subtopic Outcome,Describe how derived units are created from base units.{15},1.5.1.0
Math,Algebra,Subtopic Outcome,Apply analytical methods of vector algebra to find resultant vectors and to solve vector equations for unknown vectors.{68},1.5.1.1
Math,Algebra,Subtopic Outcome,Determine the scalar product of two vectors.{75},1.5.1.2
Math,Algebra,Subtopic Outcome,Determine the vector product of two vectors.{76},1.5.1.3
Math,Algebra,Dimensional Analysis,Find the dimensions of a mathematical expression involving physical quantities.{24},1.5.2.0
Math,Algebra,Dimensional Analysis,Determine whether an equation involving physical quantities is dimensionally consistent.{25},1.5.2.1
Math,Limits,,Paste un-numbered outcome here,1.6.1.0
Math,Limits,,Paste un-numbered outcome here,1.6.1.1
Math,Derivatives,Subtopic Outcome,Paste un-numbered outcome here,1.7.1.0
Math,Derivatives,Subtopic Outcome,Paste un-numbered outcome here,1.7.1.1
Math,Derivatives,Slope,Calculate the average velocity given the displacement and elapsed time.{86},1.7.2.0
Math,Derivatives,Slope,Calculate the average acceleration between two points in time.{97},1.7.2.1
Math,Derivatives,Slope,Calculate the instantaneous acceleration given the functional form of velocity.{98},1.7.2.2
Math,Derivatives,Slope,Find instantaneous acceleration at a specified time on a graph of velocity versus time.{101},1.7.2.3
Math,Derivatives,Slope,Calculate the velocity vector given the position vector as a function of time.{128},1.7.2.4
Math,Derivatives,Slope,Calculate the average velocity in multiple dimensions.{129},1.7.2.5
Math,Derivatives,Product rule,Paste un-numbered outcome here,1.7.3.0
Math,Derivatives,Product rule,Paste un-numbered outcome here,1.7.3.1
Math,Derivatives,Quotient Rule,Paste un-numbered outcome here,1.7.4.0
Math,Derivatives,Quotient Rule,Paste un-numbered outcome here,1.7.4.1
Math,Derivatives,Power Rule,Paste un-numbered outcome here,1.7.5.0
Math,Derivatives,Power Rule,Paste un-numbered outcome here,1.7.5.1
Math,Derivatives,Chain rule,Paste un-numbered outcome here,1.7.6.0
Math,Derivatives,Chain rule,Paste un-numbered outcome here,1.7.6.1
Math,Derivatives,Max/Min,Paste un-numbered outcome here,1.7.7.0
Math,Derivatives,Max/Min,Paste un-numbered outcome here,1.7.7.1
Math,Derivatives,Increasing/Decreasing Test,Paste un-numbered outcome here,1.7.8.0
Math,Derivatives,Increasing/Decreasing Test,Paste un-numbered outcome here,1.7.8.1
Math,Derivatives,First Derivative Test,Paste un-numbered outcome here,1.7.9.0
Math,Derivatives,First Derivative Test,Paste un-numbered outcome here,1.7.9.1
Math,Derivatives,Second Derivative Test,Paste un-numbered outcome here,1.7.10.0
Math,Derivatives,Second Derivative Test,Paste un-numbered outcome here,1.7.10.1
Math,Integrals,Subtopic Outcome,Derive the kinematic equations for constant acceleration using integral calculus.{117},1.8.1.0
Math,Integrals,Subtopic Outcome,Find the functional form of velocity versus time given the acceleration function.{119},1.8.1.1
Math,Integrals,Subtopic Outcome,Find the functional form of position versus time given the velocity function.{120},1.8.1.2
Math,Integrals,Area Under Curve,Determine the total distance traveled.{85},1.8.2.0
Math,Integrals,Area Under Curve,Relate the work done during a time interval to the power delivered.{254},1.8.2.1
Math,Integrals,Area Between Two Curves,Paste un-numbered outcome here,1.8.3.0
Math,Integrals,Area Between Two Curves,Paste un-numbered outcome here,1.8.3.1
